"calories","cook","directions","ingredients","name","prep","rating","ready in","url"
"448","2 hrs 30 mins","1. In a Dutch oven, cook sausage, ground beef, onion, and garlic over medium heat until well browned. Stir in crushed tomatoes, tomato paste, tomato sauce, and water. Season with sugar, basil, fennel seeds, Italian seasoning, 1 teaspoon salt, pepper, and 2 tablespoons parsley. Simmer, covered, for about 1 1/2 hours, stirring occasionally. 2. Bring a large pot of lightly salted water to a boil. Cook lasagna noodles in boiling water for 8 to 10 minutes. Drain noodles, and rinse with cold water. In a mixing bowl, combine ricotta cheese with egg, remaining parsley, and 1/2 teaspoon salt. 3. Preheat oven to 375 degrees F (190 degrees C). 4. To assemble, spread 1 1/2 cups of meat sauce in the bottom of a 9x13-inch baking dish. Arrange 6 noodles lengthwise over meat sauce. Spread with one half of the ricotta cheese mixture. Top with a third of mozzarella cheese slices. Spoon 1 1/2 cups meat sauce over mozzarella, and sprinkle with 1/4 cup Parmesan cheese. Repeat layers, and top with remaining mozzarella and Parmesan cheese. Cover with foil: to prevent sticking, either spray foil with cooking spray, or make sure the foil does not touch the cheese. 5. Bake in preheated oven for 25 minutes. Remove foil, and bake an additional 25 minutes. Cool for 15 minutes before serving.","1 pound sweet Italian sausage, ¾ pound lean ground beef, ½ cup minced onion, 2 cloves garlic, crushed, 1 (28 ounce) can crushed tomatoes, 2 (6 ounce) cans tomato paste, 2 (6.5 ounce) cans canned tomato sauce, ½ cup water, 2 tablespoons white sugar, 1 ½ teaspoons dried basil leaves, ½ teaspoon fennel seeds, 1 teaspoon Italian seasoning, 1 ½ teaspoons salt, divided, or to taste, ¼ teaspoon ground black pepper, 4 tablespoons chopped fresh parsley, 12 lasagna noodles, 16 ounces ricotta cheese, 1 egg, ¾ pound mozzarella cheese, sliced, ¾ cup grated Parmesan cheese","World's Best Lasagna","30 mins","5","3 hrs 15 mins","https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/"
"528","5 hrs","1. Pour the vegetable oil into the bottom of a slow cooker. Place the pork roast into the slow cooker; pour in the barbecue sauce, apple cider vinegar, and chicken broth. Stir in the brown sugar, yellow mustard, Worcestershire sauce, chili powder, onion, garlic, and thyme. Cover and cook on High until the roast shreds easily with a fork, 5 to 6 hours. 2. Remove the roast from the slow cooker, and shred the meat using two forks. Return the shredded pork to the slow cooker, and stir the meat into the juices. 3. Spread the inside of both halves of hamburger buns with butter. Toast the buns, butter side down, in a skillet over medium heat until golden brown. Spoon pork into the toasted buns.","1 teaspoon vegetable oil, 1 (4 pound) pork shoulder roast, 1 cup barbeque sauce, ½ cup apple cider vinegar, ½ cup chicken broth, ¼ cup light brown sugar, 1 tablespoon prepared yellow mustard, 1 tablespoon Worcestershire sauce, 1 tablespoon chili powder, 1 extra large onion, chopped, 2 large cloves garlic, crushed, 1 ½ teaspoons dried thyme, 8 hamburger buns, split, 2 tablespoons butter, or as needed","Slow Cooker Texas Pulled Pork","15 mins","4.5","5 hrs 15 mins","https://www.allrecipes.com/recipe/92462/slow-cooker-texas-pulled-pork/"
"549","20 mins","1. Mix olive oil, soy sauce, lemon juice, liquid smoke, mustard, pepper, and garlic powder together in a large glass or ceramic bowl. 2. Place chicken in the bowl turn to coat with marinade. Cover and marinate in the refrigerator for 1 to 4 hours. Do not marinate longer than 4 hours. 3. Preheat an outdoor grill for high heat and lightly oil the grate. 4. Remove chicken from the marinade and shake off excess. Discard the remaining marinade. 5. Cook chicken on the preheated grill until no longer pink in the center and the juices run clear, 6 to 8 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).","⅔ cup olive oil, ⅔ cup reduced-sodium soy sauce, ¼ cup lemon juice, 2 tablespoons liquid smoke flavoring, 2 tablespoons spicy brown mustard, 2 teaspoons ground black pepper, 2 teaspoons garlic powder, 4 skinless, boneless chicken breast halves","Best Chicken Marinade","5 mins","4.5","1 hr 25 mins","https://www.allrecipes.com/recipe/83793/best-chicken-marinade/"
"471","20 mins","1. Preheat an oven to 450 degrees F (230 degrees C). 2. Place chicken breasts between two sheets of heavy plastic (resealable freezer bags work well) on a solid, level surface. Firmly pound chicken with the smooth side of a meat mallet to a thickness of 1/2-inch. Season chicken thoroughly with salt and pepper. 3. Beat eggs in a shallow bowl and set aside. 4. Mix bread crumbs and 1/2 cup Parmesan cheese in a separate bowl, set aside. 5. Place flour in a sifter or strainer; sprinkle over chicken breasts, evenly coating both sides. 6. Dip a flour-coated chicken breast in beaten eggs. Transfer breast to the bread crumb mixture, pressing crumbs into both sides. Repeat for each breast. Let chicken rest for 10 to 15 minutes. 7. Heat 1/2 inch olive oil in a large skillet on medium-high heat until it begins to shimmer. Cook chicken in the hot oil until golden, about 2 minutes per side. The chicken will finish cooking in the oven. 8. Transfer chicken to a baking dish. Top each breast with 2 tablespoons tomato sauce. Layer each chicken breast with equal amounts of mozzarella cheese, fresh basil, and provolone cheese. Sprinkle remaining Parmesan over top and drizzle each with 1/2 teaspoon olive oil. 9. Bake in the preheated oven until cheese is browned and bubbly and chicken breasts are no longer pink in the center, 15 to 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).","4 skinless, boneless chicken breast halves, salt and freshly ground black pepper to taste, 2 large eggs, 1 cup panko bread crumbs, or more as needed, ¾ cup grated Parmesan cheese, divided, 2 tablespoons all-purpose flour, or more if needed, ½ cup olive oil for frying, or as needed, ½ cup prepared tomato sauce, ¼ cup fresh mozzarella, cut into small cubes, ¼ cup chopped fresh basil, ½ cup grated provolone cheese, 2 teaspoons olive oil","Chicken Parmesan","15 mins","5","45 mins","https://www.allrecipes.com/recipe/223042/chicken-parmesan/"
"845","30 mins","1. Preheat the oven to 350 degrees F (175 degrees C). 2. Cook macaroni according to the package directions. Drain. 3. Melt butter in a medium skillet over low heat. Gradually add flour, whisking until well combined. Slowly pour in milk, whisking constantly until smooth. Stir in cheeses, and cook over low heat until cheese is melted and the sauce is a little thick. Put macaroni in large casserole dish, and pour sauce over macaroni. Stir well. 4. Melt butter in a skillet over medium heat. Add breadcrumbs and brown. Spread over the macaroni and cheese to cover. Sprinkle with a little paprika. 5. Bake in the preheated oven for 30 minutes. Serve.","8 ounces uncooked elbow macaroni, ¼ cup butter, 2 ½ tablespoons all-purpose flour, 3 cups milk, 2 cups shredded sharp Cheddar cheese, ½ cup grated Parmesan cheese, 2 tablespoons butter, ½ cup bread crumbs, 1 pinch paprika","Homemade Mac and Cheese","20 mins","4","50 mins","https://www.allrecipes.com/recipe/11679/homemade-mac-and-cheese/"
"539","40 mins","1. Preheat oven to 400 degrees F (200 degrees C). 2. Heat 2 teaspoons olive oil in a large skillet over medium heat, and cook and stir the sausage until browned, 5 to 10 minutes. Transfer cooked sausage to a large baking dish. 3. Pour 1/4 cup of olive oil into the skillet, and cook potatoes, stirring occasionally, until browned, about 10 minutes. Place the potatoes into the baking dish, leaving some oil in the skillet. 4. Cook and stir green and red peppers and onions in the hot skillet until they are beginning to soften, about 5 minutes. Add the vegetables to the baking dish. 5. Pour wine and chicken stock over the vegetables and sausage, and sprinkle with Italian seasoning, salt, and pepper. Gently stir sausage, potatoes, and vegetables together. 6. Bake in the preheated oven until hot and bubbling, 20 to 25 minutes. Serve hot.","2 teaspoons olive oil, 2 pounds Italian sausage links, cut into 2-inch pieces, ¼ cup olive oil, 4 large potatoes, peeled and thickly sliced, 2 large green bell peppers, seeded and cut into wedges, 2 large red bell peppers, seeded and cut into wedges, 3 large onions, cut into wedges, ½ cup white wine, ½ cup chicken stock, 1 teaspoon Italian seasoning, salt and freshly ground black pepper to taste","Sausage, Peppers, Onions, and Potato Bake","20 mins","4.5","1 hr","https://www.allrecipes.com/recipe/214500/sausage-peppers-onions-and-potato-bake/"
"343","30 mins","1. Preheat the oven to 350 degrees F (175 degrees C). 2. Mix bread crumbs, Romano cheese, parsley, salt, pepper, garlic powder, and onion powder together. Combine with water and eggs. Add ground beef and mix well. Roll mixture into balls and place on a nonstick baking sheet. 3. Bake in the preheated oven until browned, about 30 minutes.","1 cup Italian-seasoned bread crumbs, ¼ cup grated Romano cheese, 2 tablespoons chopped fresh parsley, ½ teaspoon salt, ½ teaspoon ground black pepper, ½ teaspoon garlic powder, ½ teaspoon onion powder, ½ cup water, 2 eggs, 1 ½ pounds ground beef","Italian Baked Meatballs","20 mins","4.5","50 mins","https://www.allrecipes.com/recipe/268249/italian-baked-meatballs/"
"359","1 hr","1. Melt butter in a 3-quart saucepan over medium-low heat. Cook onion and garlic in the butter, stirring occasionally, until is browned, 7 to 10 minutes. Remove onion and garlic and set aside. 2. Stir flour slowly into butter. Cook over low heat, stirring constantly, until flour is deep brown, 7 to 10 minutes. Remove from heat. Gradually stir in broth. Add onion, garlic, mushrooms, and parsley. Bring to a boil, stirring constantly. Remove from heat. 3. Coat a large skillet with cooking spray and heat over medium-high heat. Season pork chops with salt and pepper and brown in the hot pan, 5 to 7 minutes per side. Add gravy mixture from the saucepan. Cover and cook over low heat until tender and no longer pink in the centers, 30 to 40 minutes. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).","4 tablespoons butter, 1 onion, thinly sliced and quartered, 4 cloves garlic, minced, 4 tablespoons all-purpose flour, 2 cups beef broth, 1 ½ cups sliced baby bella mushrooms, or more to taste, 1 tablespoon chopped fresh parsley, 4 center-cut pork chops, ½ teaspoon salt, or to taste, ¼ teaspoon ground black pepper, or to taste, cooking spray","Southern Smothered Pork Chops in Brown Gravy","10 mins","5","1 hr 10 mins","https://www.allrecipes.com/recipe/277208/southern-smothered-pork-chops-in-brown-gravy/"
"625","3 hrs","1. Preheat the oven to 250 degrees F (120 degrees C). 2. Place ribs in a single layer in a shallow baking pan or roaster; salt if desired. Spread garlic on ribs, then arrange lemon slices on top. 3. Bake in the preheated oven until tender, about 2 hours. Drain any grease and liquid. Pour barbeque sauce over ribs. 4. Reduce oven temperature to 225 degrees F (110 degrees C) and cook ribs until sauce bakes into meat, about 1 hour.","10 country style pork ribs, 2 teaspoons minced garlic, 1 medium lemon, thinly sliced, 1 (18 ounce) bottle barbeque sauce","BBQ Country-Style Ribs","15 mins","4.5","3 hrs 15 mins","https://www.allrecipes.com/recipe/23221/bbq-country-style-ribs/"
"268","15 mins","1. Prepare kabobs: Combine olive oil, garlic, lemon juice, oregano, and salt in a large resealable bag. Add chicken, coat with the marinade, squeeze out excess air and seal the bag; marinate in the refrigerator for 2 hours. 2. Prepare sauce: Mix yogurt, cucumber, olive oil, vinegar, garlic, and salt together in a bowl. Refrigerate sauce for flavors to blend, 1 to 2 hours. 3. Soak wooden skewers in a bowl of cold water for about 15 minutes. Preheat an outdoor grill for medium-high heat and lightly oil the grate. 4. Remove chicken from marinade and thread onto the soaked skewers. Discard unused marinade. 5. Cook the skewers on the preheated grill, turning frequently until browned on all sides and chicken is no longer pink in the center, about 7 to 8 minutes per side. Serve with tzatziki sauce.","¼ cup olive oil, 2 cloves garlic, minced, 2 tablespoons lemon juice, 1 teaspoon dried oregano, ½ teaspoon salt, 1 ½ pounds skinless, boneless chicken breast halves - cut into bite-sized pieces, 6 wooden skewers, or as needed, 1 (6 ounce) container plain Greek-style yogurt, ½ cucumber - peeled, seeded, and grated, 1 tablespoon olive oil, 2 teaspoons white vinegar, 1 clove garlic, minced, 1 pinch salt","Chicken Souvlaki with Tzatziki Sauce","15 mins","4.5","2 hrs 30 mins","https://www.allrecipes.com/recipe/231644/chicken-souvlaki-with-tzatziki-sauce/"
"247","40 mins","1. In a shallow dish or bowl, combine flour, 1/2 teaspoon salt and ground black pepper. Coat chicken breasts with flour mixture. Melt butter in a large skillet over medium heat, and brown chicken on all sides. Remove from skillet, and drain on paper towels. 2. In the same skillet, combine the tomatoes, water, brown sugar, vinegar and Worcestershire sauce. Season with salt, chili powder, mustard, celery seed, garlic and hot pepper sauce. Bring to a boil; reduce heat, and return chicken to skillet. Cover, and simmer for 35 to 40 minutes, or until chicken is tender, no longer pink and juices run clear.","6 skinless, boneless chicken breast halves, ¼ cup all-purpose flour, ½ teaspoon salt, 1 pinch ground black pepper, 3 tablespoons butter, 1 (14.5 ounce) can stewed tomatoes, with liquid, ½ cup water, 2 tablespoons brown sugar, 2 tablespoons distilled white vinegar, 2 tablespoons Worcestershire sauce, 1 teaspoon salt, 2 teaspoons chili powder, 1 teaspoon mustard powder, ½ teaspoon celery seed, 1 clove garlic, minced, ⅛ teaspoon hot pepper sauce","Chicken Breasts Pierre","30 mins","4.5","1 hr 10 mins","https://www.allrecipes.com/recipe/16707/chicken-breasts-pierre/"
"423","1 hr 15 mins","1. Preheat oven to 350 degrees F (175 degrees C). 2. Place chicken in a roasting pan, and season generously inside and out with salt and pepper. Sprinkle inside and out with onion powder. Place 3 tablespoons margarine in the chicken cavity. Arrange dollops of the remaining margarine around the chicken's exterior. Cut the celery into 3 or 4 pieces, and place in the chicken cavity. 3. Bake chicken uncovered in the preheated oven until no longer pink at the bone and the juices run clear, about 1 hour and 15 minutes. An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read 180 degrees F (82 degrees C). Remove from heat and baste with melted margarine and drippings. Cover with aluminum foil and allow to rest about 30 minutes before serving.","1 (3 pound) whole chicken, giblets removed, salt and black pepper to taste, 1 tablespoon onion powder, or to taste, ½ cup margarine, divided, 1 stalk celery, leaves removed","Juicy Roasted Chicken","10 mins","4.5","1 hr 40 mins","https://www.allrecipes.com/recipe/83557/juicy-roasted-chicken/"
"326","8 hrs 40 mins","1. Remove stems from cilantro and tie together; save leaves for sauce. 2. Place cilantro stems, chicken thighs, water, onion, and garlic into a slow cooker. Season with 1 tablespoon cumin, 1 tablespoon chili powder, 1 tablespoon pepper, and 1 teaspoon salt. 3. Cook on Low until chicken is no longer pink in the centers and juices run clear, 8 to 10 hours. Transfer chicken to a plate and shred using 2 forks. Set aside. Reserve 1 to 1 1/2 cups cooking liquid. Let onion and garlic cool slightly, about 5 minutes. Dice and set aside. 4. Preheat the oven to 450 degrees F (230 degrees C). Spray a baking sheet with cooking spray. 5. Place tomatillos cut-side down and jalapeno onto the prepared baking sheet. Drizzle with canola oil. 6. Roast in the preheated oven for 25 minutes. 7. Remove from the oven and wrap jalapeno pepper in aluminum foil to let 'sweat' for about 10 minutes. Remove skin from jalapeno. 8. Transfer tomatillos, jalapeno, reserved cilantro leaves, green chiles, vinegar, cumin, chili powder, honey, pepper, and salt to a food processor or blender. Mix sauce until well combined. 9. Pour tomatillo sauce into a large pot and add shredded chicken, diced onion and garlic, and beans. Add reserved cooking liquid. Let simmer over medium-low heat for 15 minutes. Serve.","1 bunch fresh cilantro, stems removed, 1 ½ pounds boneless chicken thighs, 4 cups water, 1 onion, quartered, 2 cloves garlic, peeled, 1 tablespoon ground cumin, 1 tablespoon chili powder, 1 tablespoon ground black pepper, 1 teaspoon salt, cooking spray, 1 pound fresh tomatillos, husks removed, halved, ½ jalapeno pepper, seeded and minced, 1 tablespoon canola oil, 1 (4 ounce) can chopped green chilies, 2 tablespoons white vinegar, 1 tablespoon ground cumin, 1 tablespoon chili powder, 1 tablespoon honey, 1 tablespoon ground black pepper, 2 teaspoons kosher salt, 1 cup great Northern beans, rinsed and drained","Slow Cooker Green Chile Chicken","30 mins","5","9 hrs 25 mins","https://www.allrecipes.com/recipe/275468/slow-cooker-green-chile-chicken/"
