"calories","cook","directions","ingredients","name","prep","rating","ready in","url"
"315","25 mins","1. In a large bowl, dissolve yeast in warm water. Let stand until creamy, about 10 minutes. In a small saucepan, heat the buttermilk until warm to the touch. 2. Pour the buttermilk and oil into the yeast mixture; mix well. Combine the flour, salt and baking soda. Stir the flour mixture into the liquid 1 cup at a time, until a soft dough forms. Turn dough out onto a lightly floured surface and knead 20 times. Cover and let rest for 15 minutes. In a small bowl, stir together the butter, brown sugar and cinnamon. 3. On a lightly floured surface, roll dough out into a large rectangle. Spread the brown sugar and butter mixture over the dough, roll up into a log and pinch the seam to seal. Slice into 1 inch pieces and place cut side up in a lightly greased 10x15 baking pan. Cover and let rise 30 minutes or cover and refrigerate overnight. If baking immediately, preheat oven to 400 degrees F (200 degrees C). 4. Bake in preheated oven for 20 to 25 minutes, until golden brown. Let stand for 2 to 3 minutes before serving.","2 (.25 ounce) packages active dry yeast, ¼ cup warm water (110 degrees F/45 degrees C), 1 ½ cups buttermilk, ½ cup vegetable oil, 4 ½ cups all-purpose flour, 1 teaspoon salt, ½ teaspoon baking soda, ½ cup butter, melted, 1 ¼ cups brown sugar, 1 ½ teaspoons ground cinnamon","Buttermilk Cinnamon Rolls","30 mins","4.5","55 mins","https://www.allrecipes.com/recipe/18095/buttermilk-cinnamon-rolls/"
"108","25 mins","1. Preheat the oven to 350 degrees F (175 degrees C). Spray a 12-cup muffin tin with nonstick cooking spray. 2. Place a thin layer of potato slices in the bottom of each muffin cup. Add a little butter on top. 3. Bake in the preheated oven for 5 minutes. 4. Mix eggs, tomato, bell pepper, spinach, ham, and onion together in a large bowl. Remove muffin tin from oven and ladle the egg mixture over the potatoes. Top each muffin cup with a mozzarella cube. 5. Continue baking until egg bites are set, about 20 minutes.","cooking spray, 5 small tri-color baby potatoes, thinly sliced, ¼ stick butter, 10 small eggs, 1 small tomato, finely chopped, 1 small yellow bell pepper, finely chopped, ½ cup fresh spinach, ¼ cup chopped ham, ¼ cup chopped white onion, 1 slice mozzarella cheese, cut into 12 cubes","Egg Bites","20 mins","4.5","45 mins","https://www.allrecipes.com/recipe/266642/egg-bites/"
"321","10 mins","1. Heat olive oil in a large skillet over medium heat; cook and stir asparagus and red bell pepper until the vegetables start to soften, about 3 minutes. Stir in cherry tomatoes, spinach, garlic, oregano, basil, and salt and continue cooking until tomatoes are soft and spinach has cooked down, another 3 to 5 minutes. Remove from heat and transfer vegetables to a plate. 2. Melt butter in clean skillet over medium heat. Whisk eggs and milk in a bowl and pour into hot butter, swirling skillet to cover entire bottom with egg mixture. Pull up an edge of the omelet with a spatula and tilt pan to allow unset egg to run underneath and cook; continue around pan, lifting omelet edge and tilting pan, until all the egg mixture is set. Sprinkle omelet with salt. 3. Spoon cooked asparagus mixture onto one side of the omelet and sprinkle with feta and Cheddar cheeses. Gently fold half the omelet over the vegetables and cheese and press edges lightly to seal in the filling. Cook until filling is hot and Cheddar cheese has melted, 1 to 2 more minutes. Cut in slices to serve.","2 tablespoons olive oil, 6 spears fresh asparagus, trimmed and chopped, ½ red bell pepper, chopped, ½ cup cherry tomatoes, halved, ½ cup chopped fresh spinach, ½ teaspoon minced garlic, ½ teaspoon dried oregano, ½ teaspoon dried basil, salt to taste, 2 tablespoons butter, 6 large eggs, ¼ cup whole milk, ½ cup crumbled feta cheese, ¼ cup shredded Cheddar cheese","Greek Omelet with Asparagus and Feta Cheese","20 mins","4.5","30 mins","https://www.allrecipes.com/recipe/222566/greek-omelet-with-asparagus-and-feta-cheese/"
"382","15 mins","1. Preheat waffle iron. Beat eggs in large bowl with hand beater until fluffy. Beat in flour, milk, vegetable oil, sugar, baking powder, salt and vanilla, just until smooth. 2. Spray preheated waffle iron with non-stick cooking spray. Pour mix onto hot waffle iron. Cook until golden brown. Serve hot.","2 eggs, 2 cups all-purpose flour, 1 ¾ cups milk, ½ cup vegetable oil, 1 tablespoon white sugar, 4 teaspoons baking powder, ¼ teaspoon salt, ½ teaspoon vanilla extract","Waffles I","5 mins","4.5","20 mins","https://www.allrecipes.com/recipe/22180/waffles-i/"
"247","10 mins","1. In a large bowl, mix flour, sugar, baking powder and salt. Make a well in the center, and pour in milk, egg and oil. Mix until smooth. 2. Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake. Brown on both sides and serve hot.","1 cup all-purpose flour, 2 tablespoons white sugar, 2 teaspoons baking powder, 1 teaspoon salt, 1 egg, beaten, 1 cup milk, 2 tablespoons vegetable oil","Easy Pancakes","5 mins","4","15 mins","https://www.allrecipes.com/recipe/45396/easy-pancakes/"
"333","10 mins","1. Bake biscuits according to package directions. 2. Meanwhile, cook sausage in large skillet over medium heat 5-6 minutes or until thoroughly heated, stirring frequently. Stir in flour. Gradually add milk; cook until mixture comes to a boil and thickens, stirring constantly. Reduce heat to medium-low; simmer 2 minutes, stirring constantly. Season to taste with salt and pepper. 3. Split biscuits in half. Place 2 halves on each of 8 plates; top with about 1/3 cup gravy.","1 (16 ounce) can refrigerated jumbo buttermilk biscuits, 1 (9.6 ounce) package Jimmy Dean® Original Hearty Pork Sausage Crumbles, ¼ cup flour, 2 ½ cups milk, Salt and ground black pepper to taste","Easy Sausage Gravy and Biscuits","5 mins","5","15 mins","https://www.allrecipes.com/recipe/216391/easy-sausage-gravy-and-biscuits/"
"265","30 mins","1. Preheat the oven to 350 degrees F (175 degrees C). Line 16 muffin cups with paper liners. 2. Sift flour, baking powder, baking soda, and salt together in a bowl. 3. Combine sugar, milk, sour cream, butter, eggs, and lemon zest in a large bowl. Beat with an electric mixer on low speed until blended. Fold in the flour mixture until batter is just moistened. Fold in blueberries; avoid overmixing because batter will turn purple. 4. Fill muffin cups 3/4 full of batter. 5. Bake in the preheated oven until golden brown, 30 to 35 minutes. Let cool for 10 minutes.","3 ¼ cups all-purpose flour, 4 teaspoons baking powder, 1 teaspoon baking soda, ½ teaspoon salt, 1 ⅓ cups white sugar, 1 ¼ cups milk, 1 cup sour cream, ½ cup melted butter, 2 large eggs, 1 tablespoon lemon zest, 1 ½ cups frozen blueberries","World's Best Lemon Blueberry Muffins","15 mins","4.5","55 mins","https://www.allrecipes.com/recipe/272698/worlds-best-lemon-blueberry-muffins/"
"158","15 mins","1. In a large bowl, sift together the flour, baking powder, salt and sugar. Make a well in the center and pour in the milk, egg and melted butter; mix until smooth. 2. Heat a lightly oiled griddle or frying pan over medium-high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake. Brown on both sides and serve hot.","1 ½ cups all-purpose flour, 3 ½ teaspoons baking powder, ¼ teaspoon salt, or more to taste, 1 tablespoon white sugar, 1 ¼ cups milk, 1 egg, 3 tablespoons butter, melted","Good Old Fashioned Pancakes","5 mins","4.5","20 mins","https://www.allrecipes.com/recipe/21014/good-old-fashioned-pancakes/"
"379","15 mins","1. In a large bowl, mix together flour, salt, baking powder and sugar; set aside. Preheat waffle iron to desired temperature. 2. In a separate bowl, beat the eggs. Stir in the milk, butter and vanilla. Pour the milk mixture into the flour mixture; beat until blended. 3. Ladle the batter into a preheated waffle iron. Cook the waffles until golden and crisp. Serve immediately.","2 cups all-purpose flour, 1 teaspoon salt, 4 teaspoons baking powder, 2 tablespoons white sugar, 2 eggs, 1 ½ cups warm milk, ⅓ cup butter, melted, 1 teaspoon vanilla extract","Classic Waffles","10 mins","4.5","25 mins","https://www.allrecipes.com/recipe/20513/classic-waffles/"
"216","20 mins","1. In a large mixing bowl, whisk together the flour and the eggs. Gradually add in the milk and water, stirring to combine. Add the salt and butter; beat until smooth. 2. Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each crepe. Tilt the pan with a circular motion so that the batter coats the surface evenly. 3. Cook the crepe for about 2 minutes, until the bottom is light brown. Loosen with a spatula, turn and cook the other side. Serve hot.","1 cup all-purpose flour, 2 eggs, ½ cup milk, ½ cup water, ¼ teaspoon salt, 2 tablespoons butter, melted","Basic Crepes","10 mins","4.5","30 mins","https://www.allrecipes.com/recipe/16383/basic-crepes/"
"390","1 hr 45 mins","1. Preheat the oven to 350 degrees F (175 degrees C). 2. Fry bacon in a large skillet over medium-high heat, turning occasionally, until crispy, about 10 minutes. Drain bacon slices on paper towels. Let cool 10 minutes. Crumble and set aside. 3. Roll out pastry crust into a circle using a lightly floured rolling pin. Line a 9-inch pie pan with crust. Prick holes into the base of the dough using a fork. 4. Bake crust in the preheated oven on the middle rack for 15 minutes. 5. Remove pastry crust from the oven. Brush crust with beaten egg. Return crust to the oven and bake 5 minutes more. 6. Heat butter in a pan over medium heat and stir in onion. Cook and stir until onion has softened and turned translucent, about 5 minutes. Reduce heat to low and continue cooking and stirring until onion is very tender and dark brown, about 40 minutes more. 7. Whisk 2 eggs together in a bowl using a fork. Add sour cream and cream cheese and beat using an electric mixer until well combined. Beat in salt and pepper. 8. Spread caramelized onions with remaining butter onto pastry crust. Sprinkle with 1/2 the Cheddar cheese. Place crumbled bacon evenly over the top. Pour egg mixture over bacon. Top with remaining Cheddar cheese. 9. Bake quiche in the preheated oven until golden and fluffy, about 30 minutes. Let cool 10 minutes before serving.","4 slices bacon, 1 (9 inch) unbaked pie crust, ¼ cup butter, 1 medium onion, finely chopped, 1 egg, beaten, 2 eggs, 1 ¼ cups sour cream, ¼ cup cream cheese, softened, ¼ teaspoon salt, ⅛ teaspoon ground black pepper, 1 cup shredded Cheddar cheese","Bacon, Cheese, and Caramelized Onion Quiche","20 mins","4.5","2 hrs 25 mins","https://www.allrecipes.com/recipe/273436/bacon-cheese-and-caramelized-onion-quiche/"
"248","20 mins","1. Melt two tablespoons of butter in a frying pan or skillet over medium high heat. 2. Beat together eggs, milk and salt. Dip bread one at a time into egg mixture and fry until light brown and egg is cooked. 3. After 4 slices of bread have been cooked, melt remaining 2 tablespoons butter. Cook remaining bread slices until light brown on both sides and egg is cooked. 4. After all bread slices have been cooked and removed from pan, add brown sugar to pan. Stir until melted and sticky. Add water and stir. Place French toast in caramel sauce. Turn to coat, then remove from pan. Serve.","4 tablespoons butter, divided, 6 eggs, ½ cup milk, ⅛ teaspoon salt, 8 slices bread, 1 cup brown sugar, ½ cup water","Caramelized French Toast","10 mins","4","30 mins","https://www.allrecipes.com/recipe/24571/caramelized-french-toast/"
"208","20 mins","1. Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish. 2. In a bowl, mix together butter, Dijon mustard, Worcestershire sauce, poppy seeds, and dried onion. Separate the tops from bottoms of the rolls, and place the bottom pieces into the prepared baking dish. Layer about half the ham onto the rolls. Arrange the Swiss cheese over the ham, and top with remaining ham slices in a layer. Place the tops of the rolls onto the sandwiches. Pour the mustard mixture evenly over the rolls. 3. Bake in the preheated oven until the rolls are lightly browned and the cheese has melted, about 20 minutes. Slice into individual rolls through the ham and cheese layers to serve.","¾ cup melted butter, 1 ½ tablespoons Dijon mustard, 1 ½ teaspoons Worcestershire sauce, 1 ½ tablespoons poppy seeds, 1 tablespoon dried minced onion, 24 mini sandwich rolls, 1 pound thinly sliced cooked deli ham, 1 pound thinly sliced Swiss cheese","Baked Ham and Cheese Sliders","15 mins","5","35 mins","https://www.allrecipes.com/recipe/216756/baked-ham-and-cheese-party-sandwiches/"
"193","10 mins","1. Combine flour, white sugar, baking powder, and salt in a bowl. Mix together egg, milk, vegetable oil, and bananas in a second bowl. 2. Stir flour mixture into banana mixture; batter will be slightly lumpy. 3. Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake. Cook until pancakes are golden brown, 3 to 5 minutes per side. Serve hot.","1 cup all-purpose flour, 1 tablespoon white sugar, 2 teaspoons baking powder, ¼ teaspoon salt, 1 egg, beaten, 1 cup milk, 2 tablespoons vegetable oil, 2 ripe bananas, mashed","Banana Pancakes","5 mins","4.5","15 mins","https://www.allrecipes.com/recipe/20334/banana-pancakes-i/"
"155","5 mins","1. Bring orange juice, lemon juice, brown sugar, orange zest, and lemon zest to a boil in a saucepan over medium-high heat. Reduce heat to medium-low, and simmer until slightly thickened, about 5 minutes. Remove from heat, and stir in vanilla extract. Set aside to cool. 2. Layer the fruit in a large, clear glass bowl in this order: pineapple, strawberries, kiwi fruit, bananas, oranges, grapes, and blueberries. Pour the cooled sauce over the fruit. Cover and refrigerate for 3 to 4 hours before serving.","⅔ cup fresh orange juice, ⅓ cup fresh lemon juice, ⅓ cup packed brown sugar, ½ teaspoon grated orange zest, ½ teaspoon grated lemon zest, 1 teaspoon vanilla extract, 2 cups cubed fresh pineapple, 2 cups strawberries, hulled and sliced, 3 kiwi fruit, peeled and sliced, 3 bananas, sliced, 2 oranges, peeled and sectioned, 1 cup seedless grapes, 2 cups blueberries","Perfect Summer Fruit Salad","25 mins","4.5","3 hrs 30 mins","https://www.allrecipes.com/recipe/214947/perfect-summer-fruit-salad/"
"225","1 hr","1. Preheat oven to 325 degrees F (165 degrees C). Grease a 9x5-inch loaf pan. 2. Combine bananas, sugar, egg, and butter together in a bowl. Mix flour and baking soda together in a separate bowl; stir into banana mixture until batter is just mixed. Stir salt into batter. Pour batter into the prepared loaf pan. 3. Bake in the preheated oven until a toothpick inserted in the center of the bread comes out clean, about 1 hour.","3 ripe bananas, mashed, 1 cup white sugar, 1 egg, ¼ cup melted butter, 1 ½ cups all-purpose flour, 1 teaspoon baking soda, 1 teaspoon salt","Joy's Easy Banana Bread","15 mins","5","1 hr 15 mins","https://www.allrecipes.com/recipe/241707/joys-easy-banana-bread/"
"230","10 mins","1. Combine milk with vinegar in a medium bowl and set aside for 5 minutes to ""sour"". 2. Combine flour, sugar, baking powder, baking soda, and salt in a large mixing bowl. Whisk egg and butter into ""soured"" milk. Pour the flour mixture into the wet ingredients and whisk until lumps are gone. 3. Heat a large skillet over medium heat, and coat with cooking spray. Pour 1/4 cupfuls of batter onto the skillet, and cook until bubbles appear on the surface. Flip with a spatula, and cook until browned on the other side.","¾ cup milk, 2 tablespoons white vinegar, 1 cup all-purpose flour, 2 tablespoons white sugar, 1 teaspoon baking powder, ½ teaspoon baking soda, ½ teaspoon salt, 1 egg, 2 tablespoons butter, melted, cooking spray","Fluffy Pancakes","10 mins","5","25 mins","https://www.allrecipes.com/recipe/162760/fluffy-pancakes/"
"310","35 mins","1. Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9-inch pie pan. 2. Heat oil in a large skillet over medium-high heat. Add onions and cook, stirring occasionally, until soft, about 3 minutes. Stir in spinach and continue to cook until excess moisture has evaporated. 3. Whisk together eggs, salt, and pepper in a large bowl. Add Muenster cheese and spinach mixture and stir until well blended. Pour into the prepared pan. 4. Bake in the preheated oven until eggs have set, about 30 minutes. 5. Remove from the oven and let cool for 10 minutes before serving.","1 tablespoon vegetable oil, 1 medium onion, chopped, 1 (10 ounce) package frozen chopped spinach - thawed, drained, and squeezed dry, 5 large eggs, beaten, ¼ teaspoon salt, ⅛ teaspoon ground black pepper, 3 cups shredded Muenster cheese","Crustless Spinach Quiche","15 mins","4.5","50 mins","https://www.allrecipes.com/recipe/20876/crustless-spinach-quiche/"
"102","20 mins","1. Preheat oven to 350 degrees F (175 degrees C). Grease a 9x9-inch baking pan. 2. In a mixing bowl, beat together the peanut butter, brown sugar, and butter with an electric mixer until smooth and fluffy. Beat in the egg and vanilla extract, then the banana. Stir in the oats, flour, wheat germ, and baking soda until completely combined. Spread in prepared baking pan. 3. Bake in the preheated oven until set and lightly browned, 20 to 25 minutes. Remove from oven and cool in pan on wire rack before cutting into bars.","⅓ cup peanut butter, ⅓ cup brown sugar, 2 ½ tablespoons butter, 1 egg, ½ teaspoon vanilla extract, 1 ripe banana, mashed, ⅔ cup rolled oats, ⅓ cup all-purpose flour, 2 tablespoons wheat germ, ¼ teaspoon baking soda","Banana Wake-Up Bars","20 mins","4","1 hr","https://www.allrecipes.com/recipe/214695/banana-wake-up-bars/"
"123","20 mins","1. Measure flour into a large mixing bowl. Slowly whisk in milk. Whisk in eggs, sugar, vanilla extract, cinnamon, and salt until smooth. 2. Heat a lightly oiled griddle or frying pan over medium heat. 3. Soak bread slices in milk mixture until saturated. 4. Working in batches, cook bread on the preheated griddle or pan until golden brown on each side. Serve hot.","¼ cup all-purpose flour, 1 cup milk, 3 eggs, 1 tablespoon white sugar, 1 teaspoon vanilla extract, ½ teaspoon ground cinnamon, 1 pinch salt, 12 thick slices bread","Fluffy French Toast","10 mins","4.5","30 mins","https://www.allrecipes.com/recipe/16895/fluffy-french-toast/"
"382","35 mins","1. Grease a 9x12-inch baking dish. 2. Stir 1 cup brown sugar and butter together in a saucepan over medium-low heat until butter melts and sugar dissolves into butter, 2 to 4 minutes. Pour into prepared baking dish and spread a 1 1/2- to 2-inch layer of bread pieces over the top. 3. Beat milk, eggs, and vanilla extract together in a bowl; pour milk mixture over bread into the baking dish and move bread as necessary to ensure all bread is absorbing liquid. Sprinkle cinnamon over the top. Cover the dish with plastic wrap and refrigerate, 8 hours to overnight. 4. Preheat oven to 450 degrees F (230 degrees C). Remove and discard plastic wrap from baking dish and sprinkle remaining brown sugar over the top of the bread mixture. 5. Bake in the preheated oven until browned and bubbling, about 30 minutes.","1 cup brown sugar, ½ cup butter, 1 (8 ounce) loaf crusty French bread, cut into bite-size pieces, or as needed, 2 cups milk, 6 eggs, 2 teaspoons vanilla extract, 1 pinch ground cinnamon, or to taste, 1 tablespoon brown sugar, or as needed","Easy French Toast Casserole","15 mins","4.5","8 hrs 50 mins","https://www.allrecipes.com/recipe/240502/easy-french-toast-casserole/"
"335","","1. Place bananas, milk, peanut butter, honey, and ice cubes in a blender; blend until smooth, about 30 seconds.","2 bananas, broken into chunks, 2 cups milk, ½ cup peanut butter, 2 tablespoons honey, or to taste, 2 cups ice cubes","Peanut Butter Banana Smoothie","5 mins","4.5","5 mins","https://www.allrecipes.com/recipe/221261/peanut-butter-banana-smoothie/"
