id,step,seqNo,recId
IS00036,Spoon 1/4 cup egg mixture into the center of each tortilla; fold sides to cover. Serve with salsa.,4,R00009
IS00037,"Place the shredded potatoes in a bowl, cover with water, and set aside. Bring the onion, garlic, green chiles, and chicken broth to a boil in a saucepan over high heat. Reduce the heat to low, and simmer until the sauce thickens; turn off the heat.",1,R00010
IS00038,"Meanwhile, place the strips of bacon on paper towels on a microwave-safe plate, and cook on High until crisp, about 1 minute per strip; set aside.",2,R00010
IS00039,"Heat the vegetable oil over medium-high heat in a large skillet. Drain the potatoes, and add to the skillet. Spoon hot oil over the potatoes; sprinkle with the onion powder, salt, and pepper. Flip the potatoes occasionally, but let them fry until crispy bits form and the potatoes are cooked through, about 15 minutes.",3,R00010
IS00040,"Place the tortillas between two damp paper towels. Microwave on High until warm, about 30 seconds.",4,R00010
IS00041,"Spray a separate skillet with butter flavored cooking spray and cook the eggs over medium heat, whisking them continuously until the eggs are completely set; turn off the heat.",5,R00010
IS00042,"Lay a tortilla flat in front of you. Place some potatoes, scrambled egg, and a strip of bacon on the lower third, leaving about an inch of room from the bottom, and about 1-1/2 inches on the left and right clear for folding the burrito. Spoon on a little of the green chile sauce, and sprinkle with Cheddar cheese.",6,R00010
IS00043,"Fold the left and right edges into the middle about 1-1/2 to 2 inches. Take the bottom edge closest to you with the stuffing and pick it up, pulling it OVER the filling, while keeping the sides in place until that edge now touches the tortilla about 7/8 of the way up to the top edge. Check to see that the sides are still tucked well. If they aren't slide them in a bit now that you have the filling covered. Finish by tucking the bottom flap that you pulled over the filling UNDER the filling a bit to seal it, then continue rolling the burrito up to the top edge, forming a tight cylinder. Let it rest seam-side down, and it will stay nice and tight. Repeat with remaining ingredients.",7,R00010
IS00044,"Combine butter and potatoes in a large nonstick skillet over medium-high heat. Cook until potatoes are slightly browned on the edges, 5 to 7 minutes.",1,R00011
IS00045,"Add eggs to the skillet with the potatoes and cook until set, 5 to 7 minutes more. Add Cheddar cheese, pepper jack cheese, and picante sauce. Mix with potatoes and eggs until thoroughly incorporated. Add crushed chips to the skillet and stir until well mixed.",2,R00011
IS00046,Divide egg mixture evenly among tortillas and roll up burrito-style.,3,R00011
IS00047,"Heat oil in a small skillet over medium-high heat. Fry tortillas one at a time until firm, but not crisp. Remove to paper towels to drain grease.",1,R00012
IS00048,"Meanwhile, combine the refried beans and butter in a microwave-safe dish. Cover, and cook in the microwave until heated through. When tortillas are done, fry eggs over easy in the skillet. Add more oil if the tortillas have absorbed it all.",2,R00012
IS00049,"Place tortillas onto plates, and spread a layer of beans on them. Top with cheese, a fried egg, crumbled bacon and if desired, salsa.",3,R00012
IS00050,"Heat skillet at a high setting and toss in the chopped onion, tomato, jalapeno, and cilantro. Saute until tender.",1,R00013
IS00051,"When vegetables have softened, crack eggs into the pan. Allow eggs to cook all the way on one side and then flip and cook the other side.",2,R00013
IS00052,"When the eggs are finished, heat tortillas in the same skillet until warmed through. Place one tortilla on a plate and top with egg mixture and shredded cheese. Top each serving with 1 tablespoon each guacamole and sour cream.",3,R00013
IS00053,"Heat oil in a small skillet over medium-high heat. Fry tortillas one at a time until firm, but not crisp. Remove to paper towels to drain grease.",1,R00014
IS00054,"Meanwhile, combine the refried beans and butter in a microwave-safe dish. Cover, and cook in the microwave until heated through. When tortillas are done, fry eggs over easy in the skillet. Add more oil if the tortillas have absorbed it all.",2,R00014
IS00055,"Place tortillas onto plates, and spread a layer of beans on them. Top with cheese, a fried egg, crumbled bacon and if desired, salsa.",3,R00014
IS00056,"Generously coat a large frying pan with cooking spray. Cook and stir chorizo over medium high heat until well browned and crumbled. Add onion and chile pepper, and continue cooking until onion is tender.",1,R00015
IS00057,"Beat eggs in a bowl, and add to chorizo mixture. Reduce heat to medium-low, and continue cooking and stirring until eggs are scrambled and no longer runny.",2,R00015
IS00058,"Warm flour tortillas in the microwave for 30 seconds. Spoon mixture into the middle of each tortilla and top with shredded Cheddar cheese. Roll up like a burrito, and enjoy!",3,R00015
IS00059,Place beef slices in a mixing bowl. Sprinkle with asada seasoning and garlic powder; toss in bowl to evenly coat. Let marinade 5 minutes.,1,R00016
IS00060,"Heat oil in a large, deep skillet over medium-high heat. Place beef strips in skillet and cook and stir until browned. Stir in bell pepper, onions, and jalapeno pepper. Add tomatoes and potatoes. Cook mixture until potatoes are tender, 5 to 8 minutes. Season with salt and pepper. Transfer mixture to a bowl.",2,R00016
IS00061,"Melt 1 tablespoon butter in the same skillet. Add the eggs, stirring occasionally, until eggs are scrambled and set. Transfer the beef mixture back to skillet. Cook and stir until warmed through, about 2 minutes. Melt the remaining 2 tablespoons butter in a small dish in microwave.",3,R00016
IS00062,Divide shredded cheese among tortillas; divide beef and veggie mixture and place on the cheese. Fold in sides of tortilla and roll up. Brush with melted butter and place folded side down in pan to brown; flip and brown on top side. Burrito should be warmed though.,4,R00016
IS00063,Preheat oven to 375 degrees F (190 degrees C).,1,R00017
IS00064,Brown hash browns and ham in 1 tablespoon of oil in a medium skillet over medium high heat. Stir in diced green chilies and 1/2 cup of Cheddar cheese. Cook until cheese has melted.,2,R00017
IS00065,"Coat the bottom of a 9x13 inch baking dish with a small amount of enchilada sauce. Dip each tortilla in remaining sauce, and fill with potato-ham mixture. Roll each as tightly as possible and place in the baking dish, seam side down. Top with remaining sauce and cheese, and cover with tin foil.",3,R00017
IS00066,"Bake, covered, in the preheated oven for approximately 20 minutes. Remove foil and bake for another 10 minutes, or until lightly browned on top. Serve immediately.",4,R00017
IS00067,"Place the shredded potatoes in a bowl, cover with water, and set aside. Bring the onion, garlic, green chiles, and chicken broth to a boil in a saucepan over high heat. Reduce the heat to low, and simmer until the sauce thickens; turn off the heat.",1,R00018
IS00068,"Meanwhile, place the strips of bacon on paper towels on a microwave-safe plate, and cook on High until crisp, about 1 minute per strip; set aside.",2,R00018
IS00069,"Heat the vegetable oil over medium-high heat in a large skillet. Drain the potatoes, and add to the skillet. Spoon hot oil over the potatoes; sprinkle with the onion powder, salt, and pepper. Flip the potatoes occasionally, but let them fry until crispy bits form and the potatoes are cooked through, about 15 minutes.",3,R00018
IS00070,"Place the tortillas between two damp paper towels. Microwave on High until warm, about 30 seconds.",4,R00018
IS00071,"Spray a separate skillet with butter flavored cooking spray and cook the eggs over medium heat, whisking them continuously until the eggs are completely set; turn off the heat.",5,R00018
IS00072,"Lay a tortilla flat in front of you. Place some potatoes, scrambled egg, and a strip of bacon on the lower third, leaving about an inch of room from the bottom, and about 1-1/2 inches on the left and right clear for folding the burrito. Spoon on a little of the green chile sauce, and sprinkle with Cheddar cheese.",6,R00018
IS00073,"Fold the left and right edges into the middle about 1-1/2 to 2 inches. Take the bottom edge closest to you with the stuffing and pick it up, pulling it OVER the filling, while keeping the sides in place until that edge now touches the tortilla about 7/8 of the way up to the top edge. Check to see that the sides are still tucked well. If they aren't slide them in a bit now that you have the filling covered. Finish by tucking the bottom flap that you pulled over the filling UNDER the filling a bit to seal it, then continue rolling the burrito up to the top edge, forming a tight cylinder. Let it rest seam-side down, and it will stay nice and tight. Repeat with remaining ingredients.",7,R00018
IS00074,"Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, and set aside. Wrap the tortillas in foil and warm in the oven.",1,R00019
IS00075,Fry the eggs in a greased skillet until firm. In a small sauce pan heat the refried beans.,2,R00019
IS00076,"Top each tortilla with refried beans, 2 strips of bacon, 1 egg and a little cheese. Roll tortillas into burritos and serve.",3,R00019
IS00077,Whisk eggs together in a bowl; stir in bacon.,1,R00020
IS00078,"Melt butter in a skillet over medium heat. Add egg mixture; cook and stir until eggs are completely set, 2 to 3 minutes. Stir in American cheese, salt, and pepper.",2,R00020
IS00079,"Wrap tortillas in damp paper towels; microwave until warmed through, 30 seconds to 1 minute.",3,R00020
IS00080,Spoon 1/4 cup egg mixture into the center of each tortilla; fold sides to cover. Serve with salsa.,4,R00020
IS00081,"Heat a large skillet over medium-high heat. Add sausage and cook, breaking it up with the back of a spoon, until lightly browned and crumbly, about 8 minutes. Add onion and bell pepper; cook until onion is softened, about 5 more minutes. Blot any excess oil in the pan with a paper towel. Continue to cook until sausage is cooked completely, 5 to 7 more minutes. Remove from the heat. (This step can be done 1 day ahead.)",1,R00021
IS00082,"Spray a slow cooker with cooking spray. Add sausage mixture, hash browns, and Cheddar cheese.",2,R00021
IS00083,"Whisk eggs, milk, salt, and pepper together in a bowl until well blended. Pour into the slow cooker and stir until evenly combined. Cook on Low 6 to 8 hours or on High for 3 to 4 hours, stirring after the first hour.",3,R00021
IS00084,Serve mixture inside warmed tortillas with desired toppings.,4,R00021
IS00085,"Crumble sausage into a large skillet over medium-high heat. Cook until no longer pink, about 10 minutes. Transfer to a large bowl using a slotted spoon.",1,R00022
IS00086,"Reduce heat to medium. Pour beaten eggs into the skillet and season with salt and pepper. Cook for 3 minutes. Stir and cook for 2 minutes more. Turn heat off. Stir one last time, breaking up larger pieces. Pour into the bowl with the sausage, add cheese, and stir to combine.",2,R00022
IS00087,"Lay out 1 tortilla on a clean work surface. Place 1/4 cup of the sausage-egg mixture on the bottom third of the tortilla, closest to you. Fold the end of the tortilla over the mixture. Fold in both sides of the tortilla over the filling, making an envelope shape. Tuck, roll, and place on a baking sheet seam side down. Repeat with remaining tortillas and filling.",3,R00022
IS00088,Place baking sheet into the freezer for 2 hours. Transfer burritos to a covered freezer-safe container until ready to serve.,4,R00022
IS00089,"When ready to cook, preheat the air fryer to 400 degrees F (200 degrees C).",5,R00022
IS00090,"Place burrito, seam-side down, in the preheated air fryer, and cook for 5 minutes.",6,R00022
IS00091,Warm tortilla in a large skillet over medium heat.,1,R00023
IS00092,"Melt coconut oil in a separate skillet over medium-high heat. Saute spinach and tomato in hot oil until spinach wilts, about 1 minute. Add eggs and scramble until almost set, about 2 minutes. Sprinkle feta cheese over eggs and continue cooking until cheese melts, about 1 minute more.",2,R00023
IS00093,"Transfer scrambled egg mixture to warm tortilla in the large skillet; top with diced tomato. Roll tortilla and leave in skillet long enough for wrap to hold its shape, about 30 seconds.",3,R00023
IS00094,"Rehydrate and prepare 6 servings of Idahoan Hash Browns according to package, ensuring that they are golden brown.",1,R00024
IS00095,Prepare scrambled eggs and add diced poblano chilies.,2,R00024
IS00096,Warm tortillas and top with 1/2 cup hash browns and 1/2 cup scrambled egg mixture.,3,R00024
IS00097,Sprinkle with scallions and 3 dollops of soft goat cheese on top of eggs.,4,R00024
IS00098,"Fold the sides of the tortilla in towards the center and roll up from the bottom, making sure to tuck in the sides as you roll.",5,R00024
IS00099,Repeat with remaining ingredients.,6,R00024
IS00100,Serve with a side of salsa verde.,7,R00024
IS00101,Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.,1,R00025
IS00102,"Place sweet potatoes and green onions on the baking sheet. Drizzle with olive oil and sprinkle with garlic powder, salt, and pepper. Toss to combine and spread out evenly.",2,R00025
IS00103,"Roast in the preheated oven until soft, about 25 minutes.",3,R00025
IS00104,"Meanwhile, cook chorizo in a medium skillet over medium-high heat, breaking apart with a wooden spoon, 8 to 10 minutes. Drain any excess fat; transfer chorizo to a bowl and set aside to cool. Wipe out the skillet and return it to the stove.",4,R00025
IS00105,"Whisk eggs in a bowl. Heat butter in the skillet over medium-high heat. Pour in eggs and scramble until just set, 3 to 5 minutes. Scrape eggs into a bowl and let cool.",5,R00025
IS00106,"Line up tortillas in assembly-line fashion. Divide chorizo between the 8 tortillas. Top each with a portion of sweet potato-onion mixture, scrambled eggs, 1 tablespoon salsa, and queso fresco. Fold the bottom of each tortilla up over the filling, then fold in both sides and roll up burritos.",6,R00025
IS00107,Flip burritos so they are seam side-down. Wrap each individually with aluminum foil and place into a resealable plastic bag.,7,R00025
IS00108,"Cook sausage, onions and peppers in medium nonstick skillet on medium heat 4 to 5 min. or until sausage is done and vegetables are crisp-tender. Remove from skillet.",1,R00026
IS00109,Add eggs to skillet; cook and stir 2 min. or until set. Return sausage mixture to skillet; stir. Top with cheese.,2,R00026
IS00110,"Spoon onto tortillas; fold in opposite sides of each tortilla, then roll up burrito-style.",3,R00026
IS00111,"Place sausage in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, reserving 2 tablespoons drippings; set sausage aside. Preheat oven to 350 degrees F (175 degrees C).",1,R00027
IS00112,"Add the eggs and green chiles to the skillet; cook, stirring occasionally, until eggs are scrambled and set.",2,R00027
IS00113,"Lightly grease a 9x13 inch baking pan. Place the tortillas on a counter top or other clean surface. Cover each tortillas with portions on sausage, cheese and eggs. Roll up the tortillas and place them seam side down in the baking dish.",3,R00027
IS00114,"Heat reserved sausage drippings in the skillet. Sprinkle on the flour and stir. Add milk, stirring constantly, until the gravy begins to thicken. Pour the gravy on top of the tortilla rolls.",4,R00027
IS00115,"Bake in preheated oven for 10 to 15 minutes, until gravy is bubbly.",5,R00027
IS00116,"Place the pork sausage and onion into a skillet over medium heat, and cook until the sausage is browned, about 10 minutes. Break the meat apart into crumbles as it cooks. Drain the excess grease.",1,R00028
IS00117,"In a separate skillet over medium heat, melt the butter until the foam subsides, and cook and stir the beaten eggs with the chilies until softly scrambled but not wet, about 3 minutes. Transfer the scrambled eggs into a large bowl, and stir in the cooked sausage mixture.",2,R00028
IS00118,"Place a tortilla onto a microwave-safe plate, and cook in the microwave on High setting for 10 to 20 seconds. The tortilla should be warm and pliable. Spoon about 1/2 cup of the sausage and egg mixture in a line down the the tortilla, slightly off center. Top with about 1 tablespoon of shredded cheese, and 1 tablespoon of salsa. Fold 2 opposite ends of the tortilla over the filling. Press the 2 ends down so they stay folded. Carefully roll the shorter unfolded edge over the burrito, pushing the filling to the back of the roll as you go, to snugly enclose the filling. Keep the 2 ends folded as you roll. Wrap in foil if desired. Repeat with the rest of the tortillas.",3,R00028
IS00119,"In a bowl, beat together the eggs, milk, and cheese. Season with salt. Pour into a skillet over medium heat. Cook and stir until scrambled.",1,R00029
IS00120,"Season mashed avocados with salt. Place tortillas one at a time in a separate skillet over medium heat, and cook just until warm. Spread equal amounts of the avocado mixture on one side of each warmed tortilla. Layer with equal amounts cottage cheese and scrambled eggs. Roll into burritos and serve with ketchup.",2,R00029
IS00121,"In medium non-stick skillet, heat oil over medium heat; saute red and jalapeno peppers and garlic for 2 minutes or until softened. Add ham and chili powder; saute 2 minutes or until heated through. Remove to bowl; cover to keep warm.",1,R00030
IS00122,"In a small bowl or measuring cup, whisk eggs, salt and pepper.",2,R00030
IS00123,"Melt butter in the same skillet on medium heat; add eggs and cook, stirring gently, until set but still soft, about 2 minutes.",3,R00030
IS00124,"Spoon eggs on each tortilla, top with ham mixture, cheese and onion. Serve with salsa and/or coriander, if desired.",4,R00030
IS00125,"Place the tortillas into a microwave oven, and heat on high until warmed and pliable, 10 to 15 seconds.",1,R00031
IS00126,"Spread each tortilla with cottage cheese and pineapple, sprinkle with granola cereal and brown sugar, and top with a sliced banana.",2,R00031
IS00127,"Fold the top and bottom of each tortilla down, enclosing the filling, and roll the wrap tightly into a compact cylinder. Slice each wrap in half across the middle to serve.",3,R00031
IS00128,"Place bacon in a cold, nonstick pan over medium to medium-high heat. Cook until browned, crisp, and foamy, about 10 minutes. Turn off the heat, remove to a paper towel-lined plate, and set aside.",1,R00032
IS00129,"Place cubed potatoes into the pan of bacon fat and set heat to medium. Season with salt, black pepper, and cayenne. Cook, tossing and turning occasionally, until the potatoes are browned, crispy, and tender, 8 to 10 minutes. Add onions and peppers, and cook until they soften up a bit, 2 to 3 minutes. Transfer everything into a strainer set over a bowl to drain excess bacon fat.",2,R00032
IS00130,"To make one breakfast burrito, place 2 strips cooked bacon back in the pan. Turn heat to medium and scatter 1/2 of the potato mixture in and around. Scatter over 1/2 of the Cheddar cheese as evenly as possible, and then pour 2 beaten eggs over top.",3,R00032
IS00131,"Tilt the pan to make sure the egg is evenly distributed. Place a tortilla over the top and press down lightly into the rest of the ingredients. Cook just until the eggs firm up enough to flip, about 1 minute. Use a spatula to carefully, but confidently, flip everything over so the tortilla is now on the bottom. Cook until the tortilla is as browned and crispy as you like, 2 to 3 minutes.",4,R00032
IS00132,"Remove from the heat and transfer onto a plate. Roll into a burrito and serve with hot sauce, avocado, sour cream, and cilantro. Repeat to cook remaining burrito.",5,R00032
IS00133,"Boil the potatoes in a large saucepan until they are soft, but not mushy. Drain and return to the pan.",1,R00033
IS00134,"In a large skillet, brown the sausage until there is no pink left. Drain and set aside.",2,R00033
IS00135,"Coat a small skillet with vegetable cooking spray. Over medium heat, scramble the eggs.",3,R00033
IS00136,"Mix potatoes, sausage and scrambled eggs thoroughly and place into the flour tortillas.",4,R00033
IS00137,"Heat oil in a skillet over medium-high heat. Add broken tortilla chips; cook and stir for 2 to 3 minutes. Add onion; cook and stir for 3 minutes. Add bell pepper and cook until tender, 3 to 5 minutes. Stir in sausage and let cook until heated through, about 3 minutes.",1,R00034
IS00138,"Add tomato and mix until well combined. Pour beaten eggs into the skillet and season with salt and pepper. Cook, stirring regularly, until eggs are set and thoroughly cooked, about 5 minutes.",2,R00034
IS00139,"Serve skillet mixture with tortillas, Cheddar cheese, and salsa for guests to assemble themselves.",3,R00034
IS00140,"Place tortillas on a microwave-safe plate. Place shredded Cheddar cheese in the center of each tortilla, towards 1 end. Microwave on high power to melt cheese, 20 to 30 seconds.",1,R00035
IS00141,"Heat butter in a skillet over medium heat. Whisk eggs together in a bowl. Pour into the skillet; cook and stir until eggs are set, about 5 minutes.",2,R00035
IS00142,"Place eggs over melted cheese on tortillas; top each with avocado, tomato, and cilantro. Season with salt and pepper. Top with hot sauce.",3,R00035
IS00143,Heat oil in a deep saucepan over medium heat. Mix sugar and cinnamon together in a brown paper bag.,1,R00036
IS00144,"Put about 1 tablespoon pie filling in the center of each tortilla and roll up like a burrito, folding both ends over.",2,R00036
IS00145,"Lower burritos carefully into the hot oil in batches. Fry until medium brown and crispy, turning once, 3 to 5 minutes. Transfer to a plate lined with paper towels to drain and then shake in the paper bag until coated with cinnamon-sugar mixture. Repeat with remaining burritos.",3,R00036
IS00146,Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.,1,R00037
IS00147,"Stir together cheese, eggs, bacon, bread, red bell pepper, green onion, milk, garlic, salt, and black pepper in a bowl until well-combined; pour into the prepared baking dish.",2,R00037
IS00148,"Bake in the preheated oven until eggs are set, 20 to 25 minutes.",3,R00037
IS00149,"Prepare casserole: Lightly grease a 9x13-inch baking dish. Arrange 1/2 of the bread cubes in the dish and top with cream cheese cubes. Sprinkle blueberries over the cream cheese, then top with remaining bread cubes.",1,R00038
IS00150,"Whisk eggs, milk, vanilla extract, and syrup together in a large bowl until well-combined; pour over the bread cubes. Cover and refrigerate overnight.",2,R00038
IS00151,Remove casserole from the refrigerator about 30 minutes before baking. Preheat the oven to 350 degrees F (175 degrees C).,3,R00038
IS00152,"Bake casserole in the preheated oven, covered, for 30 minutes. Uncover, and continue baking until center is firm and surface is lightly browned, about 25 to 30 minutes.",4,R00038
IS00153,"Meanwhile, prepare blueberry sauce: Mix sugar, water, and cornstarch together in a medium saucepan; bring to a boil and cook, stirring constantly, 3 to 4 minutes. Stir in blueberries, reduce heat to low, and simmer until all the blueberries burst, about 10 minutes. Stir in butter.",5,R00038
IS00154,Serve portions of casserole on plates and pour warm syrup over top.,6,R00038
IS00155,Preheat oven to 350 degrees F (175 degrees C). Lightly grease a large baking dish.,1,R00039
IS00156,"Bring water to a boil in a large saucepan, and stir in grits. Reduce heat, cover, and simmer about 5 minutes, until liquid has been absorbed. Mix in 1/2 the butter and 2 cups cheese until melted.",2,R00039
IS00157,"In a skillet over medium-high heat, cook the sausage until evenly browned. Drain, and mix into the grits. Beat together the eggs and milk in a bowl, and pour into the skillet. Lightly scramble, then mix into the grits.",3,R00039
IS00158,"Pour the grits mixture into the prepared baking dish. Dot with remaining butter, and top with remaining cheese. Season with salt and pepper.",4,R00039
IS00159,"Bake 30 minutes in the preheated oven, until lightly browned.",5,R00039
IS00160,"Coat a 9x13 inch baking dish with cooking spray. Arrange 1/2 of the cubed raisin bread in the bottom of the dish. Sprinkle the cream cheese evenly over the bread, and top with the apples. If you like extra raisins, add them now. Top with remaining bread.",1,R00040
IS00161,"In a large bowl, beat the eggs with the cream, butter, and maple syrup. Pour over the bread mixture. Cover with plastic wrap, and press down so that all bread pieces are soaked. Refrigerate at least 2 hours.",2,R00040
IS00162,Preheat oven to 325 degrees F (165 degrees C).,3,R00040
IS00163,Bake 45 minutes in the preheated oven. Let stand for 10 minutes before serving.,4,R00040
IS00164,Preheat oven to 375 degrees F (190 degrees C). Lightly grease a 9x13 inch baking dish.,1,R00041
IS00165,,2,R00041
IS00166,"Bake 1 hour in the preheated oven, or until bubbly and lightly brown. Serve immediately.",3,R00041
IS00167,Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.,1,R00042
IS00168,"Heat a large skillet over medium-high heat; cook and stir bacon and onion until bacon is evenly browned, about 10 minutes. Drain. Transfer bacon and onion to a large bowl. Stir in potatoes, eggs, Cheddar cheese, cottage cheese, and Swiss cheese. Pour mixture into prepared baking dish.",2,R00042
IS00169,"Bake in preheated oven until eggs are set and cheese is melted, 45 to 50 minutes. Let stand 10 minutes before cutting and serving.",3,R00042
IS00170,Preheat the oven to 350 degrees F (175 degrees C). Spray a 9x13-inch pan with cooking spray.,1,R00043
