"calories","cook","directions","ingredients","name","prep","rating","ready in","url"
"274","","1. Cut avocado in half, scoop out the flesh into a large bowl, and mash avocado with the back of a fork or potato masher. Add tuna, apple, onion, celery, toasted walnuts, mayonnaise, pickle juice, dill, Dijon mustard, cumin, salt, and pepper; mix well.","1 ripe avocado, 2 (5 ounce) cans flaked light tuna, ½ red apple, chopped, ½ cup chopped red onion, ½ cup chopped celery, ¼ cup chopped toasted walnuts, 2 tablespoons mayonnaise (Optional), 1 tablespoon pickle juice, 1 teaspoon dried dill weed, ½ teaspoon Dijon mustard, ¼ teaspoon ground cumin, salt and pepper to taste","Avocado Tuna Salad","10 mins","4.5","10 mins","https://www.allrecipes.com/recipe/272787/avocado-tuna-salad/"
"431","30 mins","1. Bring the water and salt to a boil in a saucepan over high heat. Pour the lentils into the water while stirring constantly. Reduce heat to low, cover, and simmer until the lentils are tender but still hold their shape, about 30 minutes. Drain well. 2. Transfer the lentils to a mixing bowl and stir in the garlic, seeded tomatoes, red onion, green bell pepper, and chile pepper. Add the juice of 1 lemon plus 1 teaspoon of the zest. Mix in the shredded carrot, olives, and cilantro. 3. Season with salt and black pepper, and drizzle with olive oil; mix well. Refrigerate for at least an hour to allow the flavors to blend. 4. Before serving, mix the salad again and add more lemon juice or olive oil if needed. Transfer to a serving dish and garnish with sliced eggs.","4 cups water, salt, 1 ¼ cups dry lentils, 2 large cloves garlic, minced, 2 large roma (plum) tomatoes, seeded and chopped, ½ cup chopped red onion, ½ cup chopped green bell pepper, 1 small green chile pepper, seeded and chopped, 1 lemon, juiced, 1 teaspoon lemon zest, 1 small carrot, shredded, ½ cup oil-cured black olives, ¼ cup chopped fresh cilantro, salt and ground black pepper to taste, ¼ cup extra-virgin olive oil, 2 hard-cooked eggs, cut in half lengthwise","Refreshing Lentil Salad","25 mins","4.5","1 hr 55 mins","https://www.allrecipes.com/recipe/215280/refreshing-lentil-salad/"
"311","","1. Heat the wraps in the microwave on High for 30 seconds. 2. On the right side of one wrap (the side that will fold in last), spread 1 tablespoon Neufchatel cheese about 2/3 of the way down that side. Layer half of the romaine, spinach, beef, Swiss cheese, and tomatoes in the center of the wrap, leaving 1/3 of the wrap open at the bottom. Fold that third up over the bottom of your fillings, then fold in the left side and roll toward the right, letting the Neufchatel seal the wrap together. Repeat with the second wrap.","2 multi grain wraps, 2 tablespoons Neufchatel cheese, 2 leaves romaine lettuce, 1 cup fresh spinach, 6 slices deli sliced roast beef, 2 slices reduced-fat Swiss cheese, 6 cherry tomatoes, halved, ground black pepper to taste","Beef and Swiss Wrap","10 mins","4","10 mins","https://www.allrecipes.com/recipe/213040/beef-and-swiss-wrap/"
"206","15 mins","1. Bring a large pot of salted water to a boil. Add potatoes and cook until tender but still firm, about 15 minutes. Drain, cool, peel and chop. 2. While potatoes cook, place eggs in a saucepan and cover with cold water. Bring water to a boil; cover, remove from heat, and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel and chop. 3. Combine the potatoes, eggs, celery, onion, relish, mayonnaise, mustard, garlic salt, celery salt, and pepper in a large bowl. Mix together well and refrigerate until chilled.","5 potatoes, 3 eggs, 1 cup chopped celery, ½ cup chopped onion, ½ cup sweet pickle relish, ¼ cup mayonnaise, 1 tablespoon prepared mustard, ¼ teaspoon garlic salt, ¼ teaspoon celery salt, ground black pepper to taste","Old Fashioned Potato Salad","15 mins","4.5","1 hr","https://www.allrecipes.com/recipe/16729/old-fashioned-potato-salad/"
"239","","1. Combine mayonnaise, feta, chives, dill, lemon juice, salt, and pepper in a large bowl. Add radishes, tomatoes, cucumber, and onion and toss together.","½ cup mayonnaise, ½ cup crumbled feta cheese, 1 tablespoon chopped fresh chives, 1 tablespoon chopped fresh dill, 1 tablespoon fresh lemon juice, ¼ teaspoon salt, ¼ teaspoon ground black pepper, 1 bunch radishes, diced, 1 pint cherry tomatoes, quartered, 1 large English cucumber, diced, ¼ medium red onion, chopped","Creamy Cucumber, Radish, and Tomato Salad","20 mins","5","20 mins","https://www.allrecipes.com/recipe/286318/creamy-cucumber-radish-and-tomato-salad/"
"269","5 mins","1. Preheat air fryer to 390 degrees F (200 degrees C). 2. Place buns in the basket of the air fryer and cook for 2 minutes. Remove buns to a plate. 3. Place hot dogs in the basket of the air fryer and cook for 3 minutes. Transfer hot dogs to buns.","4 hot dog buns, 4 hot dogs","Basic Air Fryer Hot Dogs","5 mins","4.5","10 mins","https://www.allrecipes.com/recipe/268494/basic-air-fryer-hot-dogs/"
"400","15 mins","1. In a large pot of salted boiling water, cook pasta until al dente, rinse under cold water and drain. 2. Whisk together the salad spice mix and Italian dressing. 3. In a salad bowl, combine the pasta, cherry tomatoes, bell peppers and olives. Pour dressing over salad; toss and refrigerate overnight.","1 pound tri-colored spiral pasta, 6 tablespoons salad seasoning mix, 1 (16 ounce) bottle Italian-style salad dressing, 2 cups cherry tomatoes, diced, 1 green bell pepper, chopped, 1 red bell pepper, diced, ½ yellow bell pepper, chopped, 1 (2.25 ounce) can black olives, chopped","Pasta Salad","20 mins","4.5","13 hrs 55 mins","https://www.allrecipes.com/recipe/14385/pasta-salad/"
"189","30 mins","1. In a medium skillet over medium heat, brown the ground beef, onion, and green pepper; drain off liquids. 2. Stir in the garlic powder, mustard, ketchup, and brown sugar; mix thoroughly. Reduce heat, and simmer for 30 minutes. Season with salt and pepper.","1 pound lean ground beef, ¼ cup chopped onion, ¼ cup chopped green bell pepper, ½ teaspoon garlic powder, 1 teaspoon prepared yellow mustard, ¾ cup ketchup, 3 teaspoons brown sugar, salt to taste, ground black pepper to taste","Sloppy Joes II","10 mins","4.5","40 mins","https://www.allrecipes.com/recipe/24264/sloppy-joes-ii/"
"183","20 mins","1. Place the potatoes into a pot, and fill with enough water to cover. Bring to a boil, and cook for about 10 minutes, or until easily pierced with a fork. Drain, and set aside to cool. 2. Place the bacon in a large deep skillet over medium-high heat. Fry until browned and crisp, turning as needed. Remove from the pan and set aside. 3. Add onion to the bacon grease, and cook over medium heat until browned. Add the vinegar, water, sugar, salt and pepper to the pan. Bring to a boil, then add the potatoes and parsley. Crumble in half of the bacon. Heat through, then transfer to a serving dish. Crumble the remaining bacon over the top, and serve warm.","3 cups diced peeled potatoes, 4 slices bacon, 1 small onion, diced, ¼ cup white vinegar, 2 tablespoons water, 3 tablespoons white sugar, 1 teaspoon salt, ⅛ teaspoon ground black pepper, 1 tablespoon chopped fresh parsley","Authentic German Potato Salad","30 mins","4.5","50 mins","https://www.allrecipes.com/recipe/83097/authentic-german-potato-salad/"
"207","25 mins","1. Melt 2 tablespoons butter in a medium stock pot over medium heat. Saute onion and celery until tender. Add broccoli and broth, cover, and simmer for 10 minutes. 2. Pour the soup into a blender, filling the pitcher no more than halfway full. Hold down the lid of the blender with a folded kitchen towel, and carefully start the blender, using a few quick pulses to get the soup moving before leaving it on to puree. Puree in batches until smooth and pour into a clean pot. Alternately, you can use an immersion blender and puree the soup right in the cooking pot. 3. Melt 3 tablespoons butter in a small saucepan over medium to medium-low heat; stir in flour and add milk. Stir until thick and bubbly, and add to soup. Season with pepper and serve.","5 tablespoons butter, divided, 1 onion, chopped, 1 stalk celery, chopped, 3 cups chicken broth, 8 cups broccoli florets, 3 tablespoons all-purpose flour, 2 cups milk, ground black pepper to taste","Best Cream Of Broccoli Soup","10 mins","4.5","35 mins","https://www.allrecipes.com/recipe/13313/best-cream-of-broccoli-soup/"
"486","10 mins","1. Bring a large pot of lightly salted water to a boil. Cook pasta in the boiling water, stirring occasionally until cooked through but firm to the bite, 10 to 12 minutes. Drain and rinse under cold water. 2. Whisk Italian-style dressing and mayonnaise together in a large bowl. Stir pasta, chicken, bacon, Muenster cheese, celery, green bell pepper, cherry tomatoes, and avocado into dressing until evenly coated.","8 ounces corkscrew-shaped pasta, ¾ cup Italian-style salad dressing, ¼ cup mayonnaise, 2 cups chopped, cooked rotisserie chicken, 12 slices crispy cooked bacon, crumbled, 1 cup cubed Muenster cheese, 1 cup chopped celery, 1 cup chopped green bell pepper, 8 ounces cherry tomatoes, halved, 1 avocado - peeled, pitted, and chopped","Chicken Club Pasta Salad","20 mins","4.5","30 mins","https://www.allrecipes.com/recipe/236198/chicken-club-pasta-salad/"
"779","5 mins","1. Place almonds in a frying pan. Toast over medium-high heat, shaking frequently. Watch carefully, as they burn easily. 2. Mix together mayonnaise, lemon juice, and pepper in a medium bowl. Toss with chicken, toasted almonds, and celery.","½ cup blanched slivered almonds, ½ cup mayonnaise, 1 tablespoon lemon juice, ¼ teaspoon ground black pepper, 2 cups chopped, cooked chicken meat, 1 stalk celery, chopped","Basic Chicken Salad","5 mins","4.5","10 mins","https://www.allrecipes.com/recipe/8499/basic-chicken-salad/"
"156","","1. Whisk water, vinegar, oil, sugar, salt, and pepper together in a large bowl until smooth; add cucumbers, tomatoes, and onion and stir to coat. 2. Cover bowl with plastic wrap; refrigerate for at least 2 hours.","1 cup water, ½ cup distilled white vinegar, ¼ cup vegetable oil, ¼ cup sugar, 1 teaspoon salt, or to taste, 1 teaspoon freshly ground black pepper, or to taste, 3 cucumbers, peeled and sliced 1/4-inch thick, 3 tomatoes, cut into wedges, 1 onion, sliced and separated into rings","Marinated Cucumber, Onion, and Tomato Salad","15 mins","4.5","2 hrs 15 mins","https://www.allrecipes.com/recipe/237984/marinated-cucumber-onion-and-tomato-salad/"
"200","","1. Combine the coleslaw mix and onion in a large bowl. 2. Whisk together the salad dressing, vegetable oil, sugar, vinegar, salt, and poppy seeds in a medium bowl; blend thoroughly. Pour dressing mixture over coleslaw mix and toss to coat. Chill at least 2 hours before serving.","1 (16 ounce) bag coleslaw mix, 2 tablespoons diced onion, ⅔ cup creamy salad dressing (such as Miracle Whip™), 3 tablespoons vegetable oil, ½ cup white sugar, 1 tablespoon white vinegar, ¼ teaspoon salt, ½ teaspoon poppy seeds","Sweet Restaurant Slaw","15 mins","5","2 hrs 15 mins","https://www.allrecipes.com/recipe/142027/sweet-restaurant-slaw/"
"484","35 mins","1. Preheat oven to 350 degrees F (175 degrees C). Spray a 9x13-inch baking dish with cooking spray. 2. Melt butter in a saucepan over medium-low heat; cook and stir onion until softened, 5 to 10 minutes. Add mustard, poppy seeds, and Worcestershire sauce; cook and stir for 5 minutes. 3. Arrange the bottoms from each roll in the prepared baking dish. Spoon 2/3 the onion mixture over the roll bottoms. Add ham and Swiss cheese to each roll. Put tops of rolls over the Swiss cheese layer. Brush the remaining 1/3 onion mixture over tops of rolls. Cover dish with aluminum foil. 4. Bake in the preheated oven for 15 minutes. Remove aluminum foil and bake until tops of rolls are lightly browned, 5 to 10 minutes.","cooking spray (such as Crisco®), ½ cup butter, 1 onion, minced, 3 tablespoons Dijon mustard, 1 tablespoon poppy seeds, 2 teaspoons Worcestershire sauce, or more to taste, 1 (12 count) package Hawaiian sweet rolls, split, or more as needed, 1 pound sliced deli ham, or more as needed, 8 slices Swiss cheese, or more as needed","Hawaiian Ham and Cheese Sliders","15 mins","5","50 mins","https://www.allrecipes.com/recipe/237358/hawaiian-ham-and-cheese-sliders/"
"391","","1. Place olive oil, lime juice, garlic, salt, and cayenne pepper in a small jar. Close the lid tightly and shake the jar until the dressing is well combined. 2. Combine in a salad bowl beans, corn, avocado, bell pepper, tomatoes, green onions, and cilantro. 3. Shake dressing again, pour over salad, and toss to coat.","½ cup olive oil, ⅓ cup fresh lime juice, 1 clove garlic, minced, 1 teaspoon salt, ⅛ teaspoon ground cayenne pepper, 2 (15 ounce) cans black beans, rinsed and drained, 1 ½ cups frozen corn kernels, 1 avocado - peeled, pitted and diced, 1 red bell pepper, chopped, 2 tomatoes, chopped, 6 green onions, thinly sliced, ½ cup chopped fresh cilantro","Black Bean and Corn Salad","25 mins","4.5","25 mins","https://www.allrecipes.com/recipe/13933/black-bean-and-corn-salad-ii/"
"112","5 mins","1. Combine chicken broth, soy sauce, and sesame oil in a small saucepan. Bring to a boil. 2. Stir together cornstarch and water to dissolve cornstarch; pour into the boiling broth. Stir gently while you pour in egg and yellow food coloring. Season with salt and pepper. Sprinkle with chives before serving.","1 cup chicken broth, ¼ teaspoon soy sauce, ¼ teaspoon sesame oil, 1 teaspoon cornstarch (Optional), 2 teaspoons water (Optional), 1 egg, beaten, 1 drop yellow food coloring (Optional), ⅛ teaspoon salt (Optional), ½ teaspoon ground white pepper (Optional), 1 teaspoon chopped fresh chives","Egg Drop Soup (Better than Restaurant Quality!)","5 mins","4.5","10 mins","https://www.allrecipes.com/recipe/115965/egg-drop-soup-better-than-restaurant-quality/"
"243","","1. Cook pasta in boiling salted water until done. Drain. Rinse macaroni under cold water, and drain again. 2. Combine pasta with cheese, vegetables, mayonnaise, sour cream, milk, and pickle relish. Chill for at least 24 hours.","1 cup macaroni, ¾ cup cubed Cheddar cheese, 1 stalk celery, chopped, 1 green bell pepper, chopped, ½ cup frozen green peas, thawed, ⅓ cup chopped onion, ¼ cup mayonnaise, ¼ cup sour cream, 2 tablespoons milk, 1 ½ tablespoons sweet pickle relish","Cheddar and Macaroni Salad","","4","","https://www.allrecipes.com/recipe/11764/cheddar-and-macaroni-salad/"
"339","10 mins","1. Place potatoes into a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, about 10 minutes. Drain. Return potatoes to empty pot to dry while you mix the dressing. Sprinkle with salt. 2. Stir mayonnaise, pickles, hard-cooked eggs, red onion, celery, mustard, cider vinegar, 1 teaspoon salt, and pepper together in a large bowl. Fold potatoes into the mayonnaise mixture. Allow to chill at least six hours, or overnight, before serving.","5 pounds red potatoes, chopped, 3 cups mayonnaise, 2 cups finely chopped pickles, 5 hard-cooked eggs, chopped, ½ cup chopped red onion, ½ cup chopped celery, 3 tablespoons prepared mustard, 1 tablespoon apple cider vinegar, 1 teaspoon salt, or to taste, ½ teaspoon ground black pepper","Potato Salad","20 mins","4.5","6 hrs 30 mins","https://www.allrecipes.com/recipe/232864/potato-salad/"
"400","15 mins","1. Preheat skillet over medium heat. Generously butter one side of a slice of bread. Place bread butter-side-down onto skillet bottom and add 1 slice of cheese. Butter a second slice of bread on one side and place butter-side-up on top of sandwich. Grill until lightly browned and flip over; continue grilling until cheese is melted. Repeat with remaining 2 slices of bread, butter and slice of cheese.","4 slices white bread, 3 tablespoons butter, divided, 2 slices Cheddar cheese","Grilled Cheese Sandwich","5 mins","5","20 mins","https://www.allrecipes.com/recipe/23891/grilled-cheese-sandwich/"
"318","20 mins","1. In a medium bowl, combine cornmeal, flour, salt, pepper, sugar and baking powder. Stir in eggs and milk. 2. Preheat oil in a deep saucepan over medium heat. Insert wooden skewers into frankfurters. Roll frankfurters in batter until well coated. 3. Fry 2 or 3 corn dogs at a time until lightly browned, about 3 minutes. Drain on paper towels.","1 cup yellow cornmeal, 1 cup all-purpose flour, ¼ teaspoon salt, ⅛ teaspoon black pepper, ¼ cup white sugar, 4 teaspoons baking powder, 1 egg, 1 cup milk, 1 quart vegetable oil for frying, 2 (16 ounce) packages beef frankfurters, 16 wooden skewers","Corn Dogs","20 mins","4.5","40 mins","https://www.allrecipes.com/recipe/35149/corn-dogs/"
"443","15 mins","1. Bring a large pot of lightly salted water to a boil. Add rotini and cook until tender yet firm to the bite, 8 to 10 minutes. Drain, rinse with cold water, and drain again. 2. Transfer drained, cooked pasta to a large bowl. Add pepperoni, provolone cheese, red onion, cucumber, bell peppers, olives, parsley, and Parmesan cheese. 3. Mix olive oil, vinegar, garlic, basil, oregano, ground mustard, salt, and pepper for dressing in a jar with a lid. Seal the jar, and shake until well combined. 4. Pour dressing over the pasta salad; toss until well coated. Serve immediately, or cover and chill in the refrigerator for up to 8 hours before serving.","1 (8 ounce) package uncooked tri-color rotini pasta, 6 ounces pepperoni sausage, diced, 6 ounces provolone cheese, cubed, 1 medium red onion, very thinly sliced and cut into 1-inch pieces, 1 small cucumber, thinly sliced, ¾ cup chopped green bell pepper, ¾ cup chopped red bell pepper, 1 (6 ounce) can pitted black olives, drained, ¼ cup minced fresh parsley, ¼ cup grated Parmesan cheese, ½ cup olive oil, ¼ cup red wine vinegar, 2 cloves garlic, minced, 1 teaspoon dried basil, 1 teaspoon dried oregano, ½ teaspoon ground mustard seed, ¼ teaspoon salt, ⅛ teaspoon ground black pepper","Pasta Salad with Homemade Dressing","30 mins","4.5","45 mins","https://www.allrecipes.com/recipe/73963/pasta-salad-with-homemade-dressing/"
"382","20 mins","1. Whisk yogurt, chicken broth, lemon juice, Dijon mustard, garlic, and 1 teaspoon black pepper together in a bowl until dressing is smooth. 2. Bring a large pot of lightly salted water to a boil; add penne and cook, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain and rinse under cold water until pasta is slightly cooled. 3. Preheat oven to 450 degrees F (230 degrees C). 4. Toss shrimp and 2 tablespoons olive oil together in a bowl; season with salt and pepper. Transfer to a glass baking dish. 5. Bake in the preheated oven until shrimp are bright pink and cooked through, 10 to 12 minutes. 6. Toss pasta with dressing in a bowl. Add shrimp and scallions; season with 1 teaspoon kosher salt and more pepper. Garnish pasta salad with Cheddar cheese and lemon slices.","¼ cup Greek yogurt, ¼ cup chicken broth, 2 tablespoons lemon juice, 1 tablespoon Dijon mustard, 2 teaspoons minced garlic, 1 teaspoon ground black pepper, 10 ounces penne pasta, 40 medium shrimp, or more to taste, 2 tablespoons olive oil, or more to taste, salt and ground black pepper to taste, ½ cup chopped scallions (green onions), 1 teaspoon kosher salt, ½ cup shredded Cheddar cheese, ½ lemon, thinly sliced","Shrimp Pasta Salad With a Creamy Lemon Dressing","20 mins","4","40 mins","https://www.allrecipes.com/recipe/237178/shrimp-pasta-salad-with-a-creamy-lemon-dressing/"
"112","","1. Mix together green beans, wax beans, kidney beans, onion, sugar, vinegar, vegetable oil, salt, pepper, and celery seed. Chill in refrigerator for at least 12 hours.","1 (15 ounce) can green beans, 1 pound wax beans, 1 (15 ounce) can kidney beans, drained and rinsed, 1 onion, sliced into thin rings, ¾ cup white sugar, or to taste, ⅔ cup distilled white vinegar, ⅓ cup vegetable oil, ½ teaspoon salt, ½ teaspoon ground black pepper, ½ teaspoon celery seed","Three Bean Salad","15 mins","4.5","12 hrs 15 mins","https://www.allrecipes.com/recipe/13637/three-bean-salad/"
